CR003570988,WPSE,SME_WPSE_002,0045079908,PABX/0140/2022/OTH/SLT/CH MS14685,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 12,720 ",
CR004439127,WPSW,SME_WPSW_001,0048980883,SMEDS_0868_2022 MS15002,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 405,510 ", 0.00 
CR000183073,WPSW,SME_WPSW_007,004893167X,SMEDS_2159_2021 MS14384,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 905,326 "," 39,362.00 "
CR003012324,SPW,SME_SPW_001,0048508507,Networking Solution_Uragaha PMCU MS13700,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA," 229,948 "," 10,362.68 "
CR000140144,WPSW,SME_WPSW_004,0049337001,PABX/0096/2022/OTH/SLT/CH MS14647,1890,MS_ICT Infrastructure,Infrastructure Rental,SME Solution,DATA,,
CR004414095,EP,SME_EPS_001,0048589958,PABX MS13788,2350,MS_PABX Startup,PABX,SME Solution,DATA," 925,768 "," 41,616.12 "
CR001031143,NWPW,SME_NWPW_001,000737231X,Repair and reinstallation of Shenou PBX Unit with Power Protector only MS14707,2356,MS_Solution Miscellaneous Charges,PABX,SME Solution,DATA," 100,207 ",
CR004467497,SAB,SME_SAB_004,004940551X,'SMEDS_029_2022 MS14675,2350,MS_PABX Startup,PABX,SME Solution,DATA," 280,064 "," 21,880.00 "
CR004440694,SAB,SME_SAB_002,0049004065,SMEDS_080_2022 MS14423,2350,MS_PABX Startup,PABX,SME Solution,DATA," 905,108 "," 39,352.50 "
CR003697519,SAB,SME_SAB_002,0048700590,PABX/0299/2021/OTH/SCE/CH MS14046,2356,MS_Solution Miscellaneous Charges,PABX,SME Solution,DATA," 86,320 ",
CR001020101,WPNE,SME_WPNE_003,0000602276, PABX/0141/2022/REP/SLT/CH MS14714,2356,MS_Solution Miscellaneous Charges,PABX,SME Solution,DATA," 103,160 ",
CR004455520,WPSW,SME_WPSW_007,004947132X,UNIVO/0200/2022/OTH/SLT/CH MS15013,2349,MS_PABX Solution,PABX,SME Solution,DATA,,
CR004455520,WPSW,SME_WPSW_007,004947132X,UNIVO/0200/2022/OTH/SLT/CH MS15013,2350,MS_PABX Startup,PABX,SME Solution,DATA," 12,000 ",
