2023-04-20 11:45:37,100-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-20 11:45:38,482-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-20 16:20:32,469-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-20 16:35:40,473-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-20 16:35:56,731-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-20 16:36:01,401-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-20 16:36:07,068-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-20 16:37:07,748-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-21 08:58:34,523-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
2023-04-21 08:58:41,378-INFO-Request : {'requestHeader': {'operationType': 'ADD_OFFERING', 'requestedBy': 'slt', 'systemName': 'SLT_OCS_INT'}, 'primaryIdentity': '113493122', 'offeringList': [{'offeringId': '61000008', 'purchaseSeq': 'null'}]}
